epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.205,1.3097,3.28456,1.4133,0.01738,0.69297,0.19229,0.12509,1.07186,3.33078,1.09794,0.0002375,0.0002375,0.0002375
2,814.441,1.12656,1.78467,1.17279,0.49532,0.30807,0.41452,0.26713,1.09518,2.53231,1.13368,0.000471412,0.000471412,0.000471412
3,981.227,1.10481,1.44344,1.14815,0.60657,0.35604,0.43598,0.26184,1.29489,2.31314,1.27775,0.000688825,0.000688825,0.000688825
4,3525.35,1.0623,1.34313,1.13383,0.52533,0.58471,0.59559,0.3962,1.13697,1.88037,1.15854,0.000889738,0.000889738,0.000889738
5,3694.03,1.08004,1.25829,1.12596,0.61976,0.50518,0.56487,0.36201,1.25713,1.8717,1.30483,0.00107415,0.00107415,0.00107415
6,17124.4,1.03404,1.1597,1.11973,0.60702,0.71097,0.69988,0.48198,1.1101,1.76586,1.176,0.00104375,0.00104375,0.00104375
7,17294.2,1.00382,1.08478,1.10006,0.71574,0.736,0.74517,0.50044,1.1133,1.48811,1.17486,0.0010025,0.0010025,0.0010025
8,17492,1.00309,1.05553,1.11177,0.79395,0.69529,0.77167,0.52495,1.10877,1.26253,1.16541,0.00096125,0.00096125,0.00096125
9,17671.3,0.99294,0.98236,1.0867,0.88089,0.72499,0.81541,0.55336,1.09469,1.15473,1.15199,0.00092,0.00092,0.00092
10,18583.2,0.97445,0.97159,1.07735,0.81082,0.7265,0.79144,0.54176,1.07318,1.18246,1.13927,0.00087875,0.00087875,0.00087875
11,18756.8,0.95472,0.91563,1.06068,0.82654,0.77271,0.82497,0.56774,1.08716,1.0793,1.12992,0.0008375,0.0008375,0.0008375
12,18927.5,0.96257,0.9079,1.07709,0.78047,0.78275,0.81279,0.5578,1.08655,1.09688,1.16079,0.00079625,0.00079625,0.00079625
13,19096.4,0.94474,0.89763,1.06598,0.82441,0.78572,0.84302,0.5929,1.06939,1.02684,1.14494,0.000755,0.000755,0.000755
14,19269,0.92845,0.86064,1.05211,0.76238,0.8285,0.85452,0.60039,1.05517,0.98865,1.12476,0.00071375,0.00071375,0.00071375
15,19440.8,0.91279,0.8403,1.03795,0.81643,0.81755,0.84423,0.59901,1.0341,0.98855,1.10891,0.0006725,0.0006725,0.0006725
16,19611.6,0.89589,0.82225,1.05177,0.87574,0.7363,0.85152,0.59763,1.04929,0.97749,1.13198,0.00063125,0.00063125,0.00063125
17,19783.7,0.9136,0.78822,1.03555,0.8283,0.82593,0.84689,0.5936,1.03781,0.956,1.10804,0.00059,0.00059,0.00059
18,19954.2,0.87036,0.74521,1.02015,0.84831,0.77816,0.86705,0.60727,1.0295,0.90451,1.11431,0.00054875,0.00054875,0.00054875
19,20124.4,0.88645,0.73135,1.0361,0.80678,0.83219,0.84597,0.59959,1.04987,0.92875,1.12117,0.0005075,0.0005075,0.0005075
20,20295.4,0.85881,0.73078,1.02177,0.84079,0.81527,0.86213,0.61188,1.04202,0.91271,1.11086,0.00046625,0.00046625,0.00046625
21,20466,0.85369,0.78746,1.00757,0.8162,0.82844,0.83017,0.58013,1.07371,1.01014,1.13553,0.000425,0.000425,0.000425
22,20634.9,0.80621,0.70424,0.97331,0.82965,0.83797,0.85981,0.6009,1.04399,0.91322,1.12357,0.00038375,0.00038375,0.00038375
23,20805.1,0.7836,0.69561,0.97561,0.81331,0.81976,0.84831,0.59783,1.03947,0.93076,1.13187,0.0003425,0.0003425,0.0003425
24,20973,0.7756,0.65491,0.98126,0.85434,0.81912,0.86712,0.61384,1.043,0.88631,1.12616,0.00030125,0.00030125,0.00030125
25,21141.6,0.76734,0.65116,0.96087,0.81743,0.83109,0.86381,0.61413,1.0299,0.86354,1.11144,0.00026,0.00026,0.00026
26,21312.1,0.76148,0.61733,0.96385,0.85696,0.7961,0.84718,0.60024,1.03315,0.87787,1.11845,0.00021875,0.00021875,0.00021875
27,21482.6,0.7298,0.60938,0.95545,0.84431,0.8384,0.87494,0.62099,1.03528,0.83554,1.12014,0.0001775,0.0001775,0.0001775
28,21652.2,0.7247,0.60607,0.94085,0.87308,0.80258,0.874,0.62458,1.01318,0.82481,1.10925,0.00013625,0.00013625,0.00013625
29,21824.5,0.71122,0.58432,0.94045,0.83698,0.85095,0.8768,0.62495,1.00869,0.81398,1.10532,9.5e-05,9.5e-05,9.5e-05
30,21997.8,0.70394,0.56763,0.94396,0.84293,0.84197,0.87633,0.62369,1.01035,0.80841,1.10549,5.375e-05,5.375e-05,5.375e-05
